City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
244,Banjarmasin,ID,75.2,overcast clouds,-3.32,114.59,Swiss-Belhotel Borneo Banjarmasin
245,Fare,PF,79.05,broken clouds,-16.7,-151.02,Maitai Lapita Village Huahine
248,The Valley,AI,82.4,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
249,Koupela,BF,79.65,broken clouds,12.18,-0.35,AUBERGE MAQUIS RESTO CAFE LE ROUTIER PLUS
255,Buala,SB,85.3,clear sky,-8.14,159.59,Maringe Lagoon Lodge
261,Do Gonbadan,IR,75.2,clear sky,30.36,50.8,مهمانسرا و تالار فرهنگیان شهرستان گچساران
264,Porbandar,IN,79.84,clear sky,21.64,69.61,Lords Inn Porbandar
265,Maharajganj,IN,78.8,mist,27.13,83.57,Pt. Deen Dayal Hostel
268,Atar,MR,80.02,light rain,20.52,-13.05,Oumou Elghoura
272,Soure,BR,81.01,few clouds,-0.72,-48.52,Hotel Marajó
276,Kidal,ML,89.35,scattered clouds,18.44,1.41,
279,Mamallapuram,IN,82.4,scattered clouds,12.63,80.17,Radisson Blu Resort Temple Bay Mamallapuram
282,Vazante,BR,77.32,broken clouds,-17.99,-46.91,Hotel Pousada e Restaurante
283,Vila Do Maio,CV,75.2,few clouds,15.13,-23.22,Residence 'I Delfini'
286,Marawi,PH,80.01,broken clouds,8.0,124.29,Derogongan Residence
294,Sampit,ID,79.93,overcast clouds,-2.53,112.95,Aquarius Boutique Hotel Sampit
296,Anloga,GH,78.8,few clouds,5.79,0.9,Pin Drop Hotel
297,Asyut,EG,78.8,clear sky,27.18,31.18,Florence Hotel Assiut
304,Port-Gentil,GA,77.0,thunderstorm with light rain,-0.72,8.78,Fengshui Residence
305,Moth,IN,75.74,few clouds,25.72,78.95,ROHIT singh RAJPOOT medicine center
306,Banjar,ID,78.8,broken clouds,-8.19,114.97,The Hamsa Resort
307,Great Falls,US,80.6,clear sky,47.5,-111.3,La Quinta Inn & Suites by Wyndham Great Falls
309,Fomboni,KM,77.45,overcast clouds,-12.28,43.74,Auberge les abou
310,Benghazi,LY,85.96,clear sky,32.12,20.07,Tibesti Hotel
311,Vila Velha,BR,81.0,scattered clouds,-20.33,-40.29,Hotel Vitória Palace
314,Itoman,JP,80.6,few clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
323,Pauini,BR,79.32,broken clouds,-7.71,-66.98,Casa do Kiwliks
327,Sao Filipe,CV,78.1,scattered clouds,14.9,-24.5,Tortuga B&B
329,Mayumba,GA,76.82,overcast clouds,-3.43,10.66,LIKWALE LODGE
331,Hobyo,SO,78.62,scattered clouds,5.35,48.53,Osmani Hotel
335,Tecoanapa,MX,81.59,clear sky,16.52,-98.75,Hotel Manglares
337,Mahajanga,MG,78.8,scattered clouds,-15.72,46.32,Restaurant Greedy Coco Lodge Majunga
342,Ambon,ID,82.4,few clouds,-3.7,128.18,Swiss-Belhotel Ambon
344,Taoudenni,ML,83.32,overcast clouds,22.68,-3.98,
347,Shimoda,JP,77.0,broken clouds,34.67,138.95,Shimoda Tokyu Hotel
354,Thai Nguyen,VN,78.8,mist,21.59,105.84,Đông Dương Hotel
355,Tautira,PF,82.4,scattered clouds,-17.73,-149.15,Pension Oaoa
356,Price,US,78.8,clear sky,39.6,-110.81,National 9 - Price River Inn
359,Kahului,US,89.6,few clouds,20.89,-156.47,Maui Seaside Hotel
360,Atambua,ID,83.28,overcast clouds,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
361,Tignoan,PH,82.4,few clouds,14.56,121.62,Real Coast and Surf
366,Itarema,BR,78.73,scattered clouds,-2.92,-39.92,Windvillage
367,Mahibadhoo,MV,81.91,light rain,3.78,72.97,Omadhoo Inn
